City,Date,PM2.5,PM10,NO2,SO2,TempMax(deg-f),TempAvg(deg-f),TempMin(deg-f)
Delhi,2015-01-01,313.22,607.98,36.39,9.25,69,58.9,50
Delhi,2015-01-02,186.18,269.55,32.87,6.65,60,58.6,57
Delhi,2015-01-03,87.18,131.9,30.31,2.65,62,59.4,58
Delhi,2015-01-04,151.84,241.84,36.91,4.63,64,57.5,50
Delhi,2015-01-05,146.6,219.13,34.92,3.33,69,57.3,48
Delhi,2015-01-06,149.58,252.1,37.84,3.66,63,53.5,47
Delhi,2015-01-07,217.87,376.51,40.15,5.82,54,49.8,45
Delhi,2015-01-08,229.9,360.95,43.16,3.31,57,50.4,46
Delhi,2015-01-09,201.66,397.43,38.56,3.48,60,50.9,45
Delhi,2015-01-10,221.02,361.74,46.39,5.91,63,52.1,45
Delhi,2015-01-11,205.41,393.2,47.29,5.54,60,51.9,47
Delhi,2015-01-12,212.41,345.63,44.71,5.17,60,51,44
Delhi,2015-01-13,197.61,301.04,45.88,5.95,64,54.1,45
Delhi,2015-01-14,164.39,227.38,41.17,4.85,58,53.8,48
Delhi,2015-01-15,166.19,283.93,56.7,6.94,65,54.1,45
Delhi,2015-01-16,174.98,309.99,49.41,4.69,68,55.5,48
Delhi,2015-01-17,196.46,356.2,53.04,5.13,69,56.5,49
Delhi,2015-01-18,201.51,359.75,53.77,5.43,71,55.8,46
Delhi,2015-01-19,183.35,305.13,39.88,4.21,69,57,50
Delhi,2015-01-20,165.63,257.04,34.23,4.11,64,56.3,53
Delhi,2015-01-21,159.54,235.27,22.56,7.05,63,56,51
Delhi,2015-01-22,143.68,183.89,21.82,8.64,56,47.9,0
Delhi,2015-01-23,128.73,136.07,17.35,6.77,66,59.1,54
Delhi,2015-01-24,164.98,200.02,15.77,8.89,62,54.6,51
Delhi,2015-01-25,148.59,203.81,20.83,5.96,64,55.4,49
Delhi,2015-01-26,129.34,137.86,25.66,6.78,61,56.6,54
Delhi,2015-01-27,154.2,217.2,30.39,6.42,64,56.1,50
Delhi,2015-01-28,134.6,156.9,28.6,5.21,64,41,0
Delhi,2015-01-29,173.13,277,38.34,5.53,65,47.1,0
Delhi,2015-01-30,178.04,272.61,38.43,6.43,66,55,46
Delhi,2015-01-31,158.59,207.06,41.36,5.03,70,57.7,48
Delhi,2015-02-01,211.59,371.05,58.17,9.9,74,59,46
Delhi,2015-02-02,163.64,219.84,37.25,5.31,73,62.3,53
Delhi,2015-02-03,157.71,194.09,31.05,5.64,72,62.3,55
Delhi,2015-02-04,137.26,147.08,29.69,5.06,67,58.9,53
Delhi,2015-02-05,131.76,127.42,36.51,4.85,71,57.8,49
Delhi,2015-02-06,151.6,330.99,67,9.13,75,59.5,47
Delhi,2015-02-07,160.75,210.52,57.69,6.91,77,61.7,47
Delhi,2015-02-08,145.34,215.69,50.39,8.66,76,62.1,50
Delhi,2015-02-09,134.67,109.86,39.18,9.7,78,63.6,53
Delhi,2015-02-10,153.07,218.23,42.2,5.81,74,61.3,52
Delhi,2015-02-11,116.91,316.14,53.63,7.54,74,62.1,49
Delhi,2015-02-12,177.98,394.97,42.73,9.2,72,61.6,51
Delhi,2015-02-13,167.01,328.43,44.61,7.77,77,64.3,51
Delhi,2015-02-14,193.96,412.46,53.81,9.36,82,68.3,53
Delhi,2015-02-15,184.06,497.37,58.15,9.13,80,67.6,55
Delhi,2015-02-16,152.62,310.74,44.22,6.79,79,71.3,61
Delhi,2015-02-17,161.27,195.78,25.4,5.6,80,70.3,62
Delhi,2015-02-18,188.2,253.53,60.29,8.65,84,71.9,61
Delhi,2015-02-19,159.97,193.78,40.51,5.08,84,73.5,63
Delhi,2015-02-20,144.12,162.2,34.71,5.93,84,73,64
Delhi,2015-02-21,155.38,191.03,45.11,12.24,83,73.7,62
Delhi,2015-02-22,124.1,107.61,31.83,5.68,82,62.6,0
Delhi,2015-02-23,141.39,157.01,38.23,9.43,82,70.8,63
Delhi,2015-02-24,170.16,238.33,48.4,9.28,83,73,60
Delhi,2015-02-25,148.19,169.57,29.28,5.94,82,74.1,65
Delhi,2015-02-26,140.78,171.64,20.95,6.98,80,69.1,60
Delhi,2015-02-27,130.42,163.67,24.75,12.12,78,67.1,55
Delhi,2015-02-28,105.86,169.28,20.65,12.48,84,70.6,57
Delhi,2015-03-01,71.83,98.89,21.42,10.99,65,63.3,60
Delhi,2015-03-02,53.71,60.15,13.43,3.21,71,63.3,58
Delhi,2015-03-03,83.49,112.1,23.75,5.07,69,61.1,55
Delhi,2015-03-04,91.07,139.15,24.28,4.68,73,63.3,53
Delhi,2015-03-05,106.57,196.19,31.12,5.97,79,66.6,52
Delhi,2015-03-06,101.75,163.14,26.59,5.96,80,68.1,59
Delhi,2015-03-07,77.57,90.54,19.15,5.18,80,65.4,57
Delhi,2015-03-08,63.24,80.2,20.35,3.98,76,67.7,59
Delhi,2015-03-09,76.62,117.38,18.21,4.2,74,65,56
Delhi,2015-03-10,86.7,150.92,18.82,3.84,74,66,53
Delhi,2015-03-11,104.29,176.2,25.63,6.3,78,66.3,56
Delhi,2015-03-12,115.93,203.75,32.29,7.03,82,68.9,57
Delhi,2015-03-13,108.66,173.89,30.75,10.65,83,72.5,60
Delhi,2015-03-14,67.94,105.29,29.78,10.14,79,70.9,64
Delhi,2015-03-15,38.89,46.68,17.76,4.25,67,64.4,61
Delhi,2015-03-16,45.39,74.14,17.14,8.8,79,69,60
Delhi,2015-03-17,55.55,104.33,20.96,7.19,80,71.5,60
Delhi,2015-03-18,50.59,95.56,16.6,3.6,78,69.3,60
Delhi,2015-03-19,69.51,136.67,23.77,4.97,82,72.2,59
Delhi,2015-03-20,96.62,168,29.04,6.66,86,73.1,60
Delhi,2015-03-21,96.28,172.91,29.21,7.31,88,76.9,63
Delhi,2015-03-22,72.2,122.12,20.27,4.4,89,79.2,67
Delhi,2015-03-23,78.47,131.42,23.04,4.07,90,77.7,66
Delhi,2015-03-24,91.87,179.36,30.01,7.35,94,78.4,65
Delhi,2015-03-25,107.26,201.08,33.82,11.82,95,83.2,67
Delhi,2015-03-26,109.78,217.9,33.02,9.3,97,85.5,70
Delhi,2015-03-27,62.27,117.81,24.76,10.91,95,81.9,69
Delhi,2015-03-28,102.22,212.96,29.41,17.16,95,81.6,66
Delhi,2015-03-29,104.36,202.01,33.86,16.92,83,77.1,68
Delhi,2015-03-30,44.19,57,17.6,7.75,82,75,69
Delhi,2015-03-31,55.66,78.64,20.13,9.34,87,79.3,68
Delhi,2015-04-01,112.86,167.6,32.71,19.48,91,79.3,68
Delhi,2015-04-02,78.51,112.78,20.54,14.37,94,73.4,0
Delhi,2015-04-03,66.52,76.05,18.47,10.62,85,76,67
Delhi,2015-04-04,62.56,86.11,24.96,12.94,77,69.9,65
Delhi,2015-04-05,78.61,145.1,27.75,16.72,86,64.9,0
Delhi,2015-04-06,119.7,195.47,32.83,16.63,88,77.3,66
Delhi,2015-04-07,66.09,95.81,24.47,8.34,85,76.1,70
Delhi,2015-04-08,95.34,120.2,34.72,17.99,89,77.4,67
Delhi,2015-04-09,63.57,148.17,35.15,10.48,90,78.4,68
Delhi,2015-04-10,96.56,203.67,52.77,15.8,94,80.8,67
Delhi,2015-04-11,131.39,234.65,59.52,21.5,96,81.5,68
Delhi,2015-04-12,75.35,91.73,45.3,13.08,82,76,70
Delhi,2015-04-13,86.49,116.62,50.3,14.99,90,77.7,68
Delhi,2015-04-14,77.07,132.68,42.65,14.04,89,80.1,70
Delhi,2015-04-15,98.79,161.43,47.41,13.75,93,81.6,71
Delhi,2015-04-16,81.81,164.56,44.06,21.44,87,78.1,70
Delhi,2015-04-17,65.78,180.67,40.09,14.34,94,81.8,69
Delhi,2015-04-18,119.82,268.65,51.11,17.21,99,89.8,80
Delhi,2015-04-19,125.53,308.82,64.73,18.02,104,90.7,81
Delhi,2015-04-20,121.51,336.63,60.41,20.98,103,90.3,81
Delhi,2015-04-21,114.5,327.81,50.7,19.38,101,90.6,81
Delhi,2015-04-22,101.83,279.41,55.27,19.29,101,87.4,73
Delhi,2015-04-23,118.57,273.68,76.46,21.81,102,87.5,72
Delhi,2015-04-24,143.22,313.53,88.61,26.89,102,89.1,76
Delhi,2015-04-25,106.76,318.88,58.87,17.56,98,86.8,74
Delhi,2015-04-26,65.36,160.3,31.23,12.67,93,85.1,77
Delhi,2015-04-27,67.08,174.5,35.54,11.92,98,86.3,74
Delhi,2015-04-28,81.37,141.25,34.88,13.97,98,88,77
Delhi,2015-04-29,63.76,131.56,42.98,13.98,98,89.4,78
Delhi,2015-04-30,60.56,171.42,43.9,12.85,102,92,80
Delhi,2015-05-01,76.1,192.81,42.99,13.1,98,88.9,77
Delhi,2015-05-02,72.66,206.1,62.09,16.16,99,86.3,74
Delhi,2015-05-03,121.94,334.02,83.3,19.43,100,89,73
Delhi,2015-05-04,108.98,326.71,85.5,17.53,103,87.6,74
Delhi,2015-05-05,145.99,366.85,107.85,26,105,90.1,72
Delhi,2015-05-06,171.33,346.98,87.88,25.26,108,93.5,78
Delhi,2015-05-07,117.76,343.12,63.18,24.63,108,97.1,85
Delhi,2015-05-08,90.66,305.38,56.54,20.79,108,93.4,81
